time,P
20050217:0607,189.6
20050217:0707,413.5
20050217:0807,606.56
20050217:0907,734.85
20050217:1007,792.16
20050217:1107,804.27
20050217:1207,747.89
20050217:1307,660.98
20050217:1407,501.12
20050217:1507,316.68
20050217:1607,64.31
20050217:1707,0
20050217:1807,0
20050217:1907,0
20050217:2007,0
20050217:2107,0
20050217:2207,0
20050217:2307,0
20050218:0007,0
20050218:0107,0
20050218:0207,0
20050218:0307,0
20050218:0407,0
20050218:0507,0
20050218:0607,191.37
20050218:0707,432.8
20050218:0807,611.01
20050218:0907,734.39
20050218:1007,800.27
20050218:1107,813.09
20050218:1207,762.43
20050218:1307,668.36
20050218:1407,510.98
20050218:1507,307.38
20050218:1607,57.8
20050218:1707,0
20050218:1807,0
20050218:1907,0
20050218:2007,0
20050218:2107,0
20050218:2207,0
20050218:2307,0
20050219:0007,0
20050219:0107,0
20050219:0207,0
20050219:0307,0
20050219:0407,0
20050219:0507,0
20050219:0607,202.52
20050219:0707,426.14
20050219:0807,617.33
20050219:0907,746.64
20050219:1007,812.88
20050219:1107,823.54
20050219:1207,772.55
20050219:1307,674.48
20050219:1407,522.28
20050219:1507,310.2
20050219:1607,63.34
20050219:1707,0
20050219:1807,0
20050219:1907,0
20050219:2007,0
20050219:2107,0
20050219:2207,0
20050219:2307,0
20050220:0007,0
20050220:0107,0
20050220:0207,0
20050220:0307,0
20050220:0407,0
20050220:0507,0
20050220:0607,193.79
20050220:0707,428.36
20050220:0807,606.38
20050220:0907,735.05
20050220:1007,802.02
20050220:1107,793.13
20050220:1207,741.62
20050220:1307,650.72
20050220:1407,495.08
20050220:1507,298.62
20050220:1607,62.88
20050220:1707,0
20050220:1807,0
20050220:1907,0
20050220:2007,0
20050220:2107,0
20050220:2207,0
20050220:2307,0
20050221:0007,0
20050221:0107,0
20050221:0207,0
20050221:0307,0
20050221:0407,0
20050221:0507,0
20050221:0607,197.1
20050221:0707,430.31
20050221:0807,608.04
20050221:0907,728.42
20050221:1007,802.39
20050221:1107,805.25
20050221:1207,740.16
20050221:1307,654.16
20050221:1407,505.14
20050221:1507,300.52
20050221:1607,62.27
20050221:1707,0
20050221:1807,0
20050221:1907,0
20050221:2007,0
20050221:2107,0
20050221:2207,0
20050221:2307,0
20050222:0007,0
20050222:0107,0
20050222:0207,0
20050222:0307,0
20050222:0407,0
20050222:0507,0
20050222:0607,189.05
20050222:0707,421.86
20050222:0807,608.48
20050222:0907,721.61
20050222:1007,793.37
20050222:1107,811.57
20050222:1207,751.74
20050222:1307,647.61
20050222:1407,533.16
20050222:1507,301.2
20050222:1607,52.23
20050222:1707,0
20050222:1807,0
20050222:1907,0
20050222:2007,0
20050222:2107,0
20050222:2207,0
20050222:2307,0
20050223:0007,0
20050223:0107,0
20050223:0207,0
20050223:0307,0
20050223:0407,0
20050223:0507,0
20050223:0607,200.61
20050223:0707,423.07
20050223:0807,609.46
20050223:0907,738.41
20050223:1007,807.4
20050223:1107,822.48
20050223:1207,759.65
20050223:1307,636.68
20050223:1407,506.55
20050223:1507,298.87
20050223:1607,63.74
20050223:1707,0
20050223:1807,0
20050223:1907,0
20050223:2007,0
20050223:2107,0
20050223:2207,0
20050223:2307,0
20050224:0007,0
20050224:0107,0
20050224:0207,0
20050224:0307,0
20050224:0407,0
20050224:0507,0
20050224:0607,203.5
20050224:0707,424.39
20050224:0807,610.46
20050224:0907,739.12
20050224:1007,804.91
20050224:1107,807.9
20050224:1207,750.7
20050224:1307,655.96
20050224:1407,496.35
20050224:1507,300.06
20050224:1607,59.64
20050224:1707,0
20050224:1807,0
20050224:1907,0
20050224:2007,0
20050224:2107,0
20050224:2207,0
20050224:2307,0
20050225:0007,0
20050225:0107,0
20050225:0207,0
20050225:0307,0
20050225:0407,0
20050225:0507,0
20050225:0607,196.25
20050225:0707,426.92
20050225:0807,619.25
20050225:0907,739.76
20050225:1007,807.63
20050225:1107,820.24
20050225:1207,774.96
20050225:1307,682.8
20050225:1407,521.83
20050225:1507,301.63
20050225:1607,58.92
20050225:1707,0
20050225:1807,0
20050225:1907,0
20050225:2007,0
20050225:2107,0
20050225:2207,0
20050225:2307,0
20050226:0007,0
20050226:0107,0
20050226:0207,0
20050226:0307,0
20050226:0407,0
20050226:0507,0
20050226:0607,192.12
20050226:0707,362.25
20050226:0807,575.57
20050226:0907,719.42
20050226:1007,798.24
20050226:1107,796.67
20050226:1207,785.61
20050226:1307,627.29
20050226:1407,473.55
20050226:1507,316.95
20050226:1607,48.53
20050226:1707,0
20050226:1807,0
20050226:1907,0
20050226:2007,0
20050226:2107,0
20050226:2207,0
20050226:2307,0
20050227:0007,0
20050227:0107,0
20050227:0207,0
20050227:0307,0
20050227:0407,0
20050227:0507,0
20050227:0607,193.98
20050227:0707,392.29
20050227:0807,560.79
20050227:0907,737.6
20050227:1007,798.33
20050227:1107,784.64
20050227:1207,746.11
20050227:1307,647.95
20050227:1407,490.5
20050227:1507,293.99
20050227:1607,54
20050227:1707,0
20050227:1807,0
20050227:1907,0
20050227:2007,0
20050227:2107,0
20050227:2207,0
20050227:2307,0
20050228:0007,0
20050228:0107,0
20050228:0207,0
20050228:0307,0
20050228:0407,0
20050228:0507,0
20050228:0607,195.71
20050228:0707,430.41
20050228:0807,629.78
20050228:0907,738.7
20050228:1007,810.21
20050228:1107,831.46
20050228:1207,764.33
20050228:1307,673.1
20050228:1407,528.17
20050228:1507,303.88
20050228:1607,55.91
20050228:1707,0
20050228:1807,0
20050228:1907,0
20050228:2007,0
20050228:2107,0
20050228:2207,0
