time,P
20050216:0507,6
20050216:0607,225.09
20050216:0707,466.03
20050216:0807,631.09
20050216:0907,755.14
20050216:1007,814.12
20050216:1107,814.62
20050216:1207,759.36
20050216:1307,653.79
20050216:1407,491.54
20050216:1507,281.54
20050216:1607,14.67
20050216:1707,0
20050216:1807,0
20050216:1907,0
20050216:2007,0
20050216:2107,0
20050216:2207,0
20050216:2307,0
20050217:0007,0
20050217:0107,0
20050217:0207,0
20050217:0307,0
20050217:0407,0
20050217:0507,7.19
20050217:0607,225.5
20050217:0707,455.31
20050217:0807,632.52
20050217:0907,740.67
20050217:1007,808.58
20050217:1107,814.49
20050217:1207,750.15
20050217:1307,662.09
20050217:1407,500.72
20050217:1507,280.24
20050217:1607,14.53
20050217:1707,0
20050217:1807,0
20050217:1907,0
20050217:2007,0
20050217:2107,0
20050217:2207,0
20050217:2307,0
20050218:0007,0
20050218:0107,0
20050218:0207,0
20050218:0307,0
20050218:0407,0
20050218:0507,8.4
20050218:0607,226.41
20050218:0707,449.36
20050218:0807,621.07
20050218:0907,741.33
20050218:1007,791.77
20050218:1107,798.85
20050218:1207,750.28
20050218:1307,646.99
20050218:1407,486.94
20050218:1507,280.39
20050218:1607,16.35
20050218:1707,0
20050218:1807,0
20050218:1907,0
20050218:2007,0
20050218:2107,0
20050218:2207,0
20050218:2307,0
20050219:0007,0
20050219:0107,0
20050219:0207,0
20050219:0307,0
20050219:0407,0
20050219:0507,9.6
20050219:0607,227.68
20050219:0707,454.78
20050219:0807,627.59
20050219:0907,744.91
20050219:1007,807.45
20050219:1107,820.52
20050219:1207,766.19
20050219:1307,656.94
20050219:1407,491.76
20050219:1507,281.84
20050219:1607,14.42
20050219:1707,0
20050219:1807,0
20050219:1907,0
20050219:2007,0
20050219:2107,0
20050219:2207,0
20050219:2307,0
20050220:0007,0
20050220:0107,0
20050220:0207,0
20050220:0307,0
20050220:0407,0
20050220:0507,10.86
20050220:0607,228.77
20050220:0707,444.62
20050220:0807,616.33
20050220:0907,730.18
20050220:1007,791.98
20050220:1107,787.6
20050220:1207,733.11
20050220:1307,636.53
20050220:1407,477.9
20050220:1507,268.99
20050220:1607,17.64
20050220:1707,0
20050220:1807,0
20050220:1907,0
20050220:2007,0
20050220:2107,0
20050220:2207,0
20050220:2307,0
20050221:0007,0
20050221:0107,0
20050221:0207,0
20050221:0307,0
20050221:0407,0
20050221:0507,12.21
20050221:0607,231
20050221:0707,454.64
20050221:0807,621.78
20050221:0907,736.06
20050221:1007,793.31
20050221:1107,788.58
20050221:1207,725.44
20050221:1307,629.84
20050221:1407,478.34
20050221:1507,270.2
20050221:1607,17.59
20050221:1707,0
20050221:1807,0
20050221:1907,0
20050221:2007,0
20050221:2107,0
20050221:2207,0
20050221:2307,0
20050222:0007,0
20050222:0107,0
20050222:0207,0
20050222:0307,0
20050222:0407,0
20050222:0507,13.43
20050222:0607,224.04
20050222:0707,448.57
20050222:0807,622.08
20050222:0907,729.01
20050222:1007,795.47
20050222:1107,799.76
20050222:1207,740.01
20050222:1307,638.65
20050222:1407,482.42
20050222:1507,272.34
20050222:1607,17.59
20050222:1707,0
20050222:1807,0
20050222:1907,0
20050222:2007,0
20050222:2107,0
20050222:2207,0
20050222:2307,0
20050223:0007,0
20050223:0107,0
20050223:0207,0
20050223:0307,0
20050223:0407,0
20050223:0507,1.58
20050223:0607,215.66
20050223:0707,446.49
20050223:0807,618.39
20050223:0907,741.35
20050223:1007,792
20050223:1107,798.31
20050223:1207,740.67
20050223:1307,639.58
20050223:1407,478.36
20050223:1507,270.04
20050223:1607,15.59
20050223:1707,0
20050223:1807,0
20050223:1907,0
20050223:2007,0
20050223:2107,0
20050223:2207,0
20050223:2307,0
20050224:0007,0
20050224:0107,0
20050224:0207,0
20050224:0307,0
20050224:0407,0
20050224:0507,12.31
20050224:0607,226.84
20050224:0707,449.1
20050224:0807,628.49
20050224:0907,751.71
20050224:1007,801.71
20050224:1107,801.18
20050224:1207,745.38
20050224:1307,638.54
20050224:1407,487.29
20050224:1507,278.76
20050224:1607,18.2
20050224:1707,0
20050224:1807,0
20050224:1907,0
20050224:2007,0
20050224:2107,0
20050224:2207,0
20050224:2307,0
20050225:0007,0
20050225:0107,0
20050225:0207,0
20050225:0307,0
20050225:0407,0
20050225:0507,14.28
20050225:0607,230.19
20050225:0707,464.2
20050225:0807,639.2
20050225:0907,754.43
20050225:1007,823.03
20050225:1107,815.66
20050225:1207,759.61
20050225:1307,661.43
20050225:1407,506.55
20050225:1507,274.04
20050225:1607,18.26
20050225:1707,0
20050225:1807,0
20050225:1907,0
20050225:2007,0
20050225:2107,0
20050225:2207,0
20050225:2307,0
20050226:0007,0
20050226:0107,0
20050226:0207,0
20050226:0307,0
20050226:0407,0
20050226:0507,15.72
20050226:0607,234.2
20050226:0707,452.51
20050226:0807,630.74
20050226:0907,739.18
20050226:1007,788.03
20050226:1107,797.48
20050226:1207,750.07
20050226:1307,625.43
20050226:1407,487.09
20050226:1507,237.1
20050226:1607,16.39
20050226:1707,0
20050226:1807,0
20050226:1907,0
20050226:2007,0
20050226:2107,0
20050226:2207,0
20050226:2307,0
20050227:0007,0
20050227:0107,0
20050227:0207,0
20050227:0307,0
20050227:0407,0
20050227:0507,9.5
20050227:0607,167.82
20050227:0707,441.5
20050227:0807,624.27
20050227:0907,745.86
20050227:1007,786.71
20050227:1107,801.72
20050227:1207,751.26
20050227:1307,632.84
20050227:1407,479.51
20050227:1507,238.41
20050227:1607,18.37
20050227:1707,0
20050227:1807,0
20050227:1907,0
20050227:2007,0
20050227:2107,0
20050227:2207,0
20050227:2307,0
20050228:0007,0
20050228:0107,0
20050228:0207,0
20050228:0307,0
20050228:0407,0
20050228:0507,15.42
20050228:0607,221.55
20050228:0707,464.86
20050228:0807,638.62
20050228:0907,757
20050228:1007,817.62
20050228:1107,810.48
20050228:1207,762.92
20050228:1307,652.79
20050228:1407,492.5
20050228:1507,276.15
20050228:1607,20.44
20050228:1707,0
20050228:1807,0
20050228:1907,0
20050228:2007,0
20050228:2107,0
20050228:2207,0
20050228:2307,0
