time,P
20050221:2007,0
20050221:2107,0
20050221:2207,0
20050221:2307,0
20050222:0007,0
20050222:0107,0
20050222:0207,0
20050222:0307,0
20050222:0407,0
20050222:0507,21.43
20050222:0607,232.3
20050222:0707,443.88
20050222:0807,608.87
20050222:0907,726.57
20050222:1007,789.41
20050222:1107,781.8
20050222:1207,724.45
20050222:1307,623.52
20050222:1407,466.37
20050222:1507,260.35
20050222:1607,11.45
20050222:1707,0
20050222:1807,0
20050222:1907,0
20050222:2007,0
20050222:2107,0
20050222:2207,0
20050222:2307,0
20050223:0007,0
20050223:0107,0
20050223:0207,0
20050223:0307,0
20050223:0407,0
20050223:0507,23.32
20050223:0607,232.44
20050223:0707,453.85
20050223:0807,624.47
20050223:0907,730.92
20050223:1007,786.39
20050223:1107,780.68
20050223:1207,725.21
20050223:1307,612.21
20050223:1407,462.22
20050223:1507,267.68
20050223:1607,13.24
20050223:1707,0
20050223:1807,0
20050223:1907,0
20050223:2007,0
20050223:2107,0
20050223:2207,0
20050223:2307,0
20050224:0007,0
20050224:0107,0
20050224:0207,0
20050224:0307,0
20050224:0407,0
20050224:0507,20.21
20050224:0607,235.77
20050224:0707,447.08
20050224:0807,626.02
20050224:0907,731.92
20050224:1007,793.94
20050224:1107,795.41
20050224:1207,741.93
20050224:1307,630.31
20050224:1407,474.2
20050224:1507,268.09
20050224:1607,13.86
20050224:1707,0
20050224:1807,0
20050224:1907,0
20050224:2007,0
20050224:2107,0
20050224:2207,0
20050224:2307,0
20050225:0007,0
20050225:0107,0
20050225:0207,0
20050225:0307,0
20050225:0407,0
20050225:0507,22.24
20050225:0607,239.13
20050225:0707,467.6
20050225:0807,632.93
20050225:0907,754.58
20050225:1007,806.91
20050225:1107,810.12
20050225:1207,748.38
20050225:1307,645.78
20050225:1407,482.23
20050225:1507,272.52
20050225:1607,13.9
20050225:1707,0
20050225:1807,0
20050225:1907,0
20050225:2007,0
20050225:2107,0
20050225:2207,0
20050225:2307,0
20050226:0007,0
20050226:0107,0
20050226:0207,0
20050226:0307,0
20050226:0407,0
20050226:0507,20.12
20050226:0607,234.21
20050226:0707,458.91
20050226:0807,643.27
20050226:0907,726.6
20050226:1007,790.74
20050226:1107,783.64
20050226:1207,717.48
20050226:1307,610.32
20050226:1407,425.07
20050226:1507,253.45
20050226:1607,14.61
20050226:1707,0
20050226:1807,0
20050226:1907,0
20050226:2007,0
20050226:2107,0
20050226:2207,0
20050226:2307,0
20050227:0007,0
20050227:0107,0
20050227:0207,0
20050227:0307,0
20050227:0407,0
20050227:0507,21.55
20050227:0607,245.55
20050227:0707,447.95
20050227:0807,603
20050227:0907,742.41
20050227:1007,806.39
20050227:1107,793.44
20050227:1207,729.37
20050227:1307,619.32
20050227:1407,464.4
20050227:1507,253.52
20050227:1607,13.38
20050227:1707,0
20050227:1807,0
20050227:1907,0
20050227:2007,0
20050227:2107,0
20050227:2207,0
20050227:2307,0
20050228:0007,0
20050228:0107,0
20050228:0207,0
20050228:0307,0
20050228:0407,0
20050228:0507,23.47
20050228:0607,246.36
20050228:0707,468.92
20050228:0807,636.69
20050228:0907,714.16
20050228:1007,788.17
20050228:1107,806.17
20050228:1207,756.87
20050228:1307,636.94
20050228:1407,479.78
20050228:1507,264.35
20050228:1607,16.36
