time,P
20050222:1607,72.79
20050222:1707,0
20050222:1807,0
20050222:1907,0
20050222:2007,0
20050222:2107,0
20050222:2207,0
20050222:2307,0
20050223:0007,0
20050223:0107,0
20050223:0207,0
20050223:0307,0
20050223:0407,0
20050223:0507,0
20050223:0607,178.84
20050223:0707,414.05
20050223:0807,600.76
20050223:0907,735.05
20050223:1007,801.78
20050223:1107,818.59
20050223:1207,810.24
20050223:1307,677.31
20050223:1407,532.37
20050223:1507,339.69
20050223:1607,67.33
20050223:1707,0
20050223:1807,0
20050223:1907,0
20050223:2007,0
20050223:2107,0
20050223:2207,0
20050223:2307,0
20050224:0007,0
20050224:0107,0
20050224:0207,0
20050224:0307,0
20050224:0407,0
20050224:0507,0
20050224:0607,181.61
20050224:0707,414.24
20050224:0807,594.97
20050224:0907,722.3
20050224:1007,796.82
20050224:1107,804.08
20050224:1207,760.11
20050224:1307,671.41
20050224:1407,537.73
20050224:1507,321.91
20050224:1607,76.28
20050224:1707,0
20050224:1807,0
20050224:1907,0
20050224:2007,0
20050224:2107,0
20050224:2207,0
20050224:2307,0
20050225:0007,0
20050225:0107,0
20050225:0207,0
20050225:0307,0
20050225:0407,0
20050225:0507,0
20050225:0607,174.51
20050225:0707,418.34
20050225:0807,608.62
20050225:0907,730.91
20050225:1007,810.58
20050225:1107,818.6
20050225:1207,778.96
20050225:1307,675.12
20050225:1407,537.27
20050225:1507,322.66
20050225:1607,70.89
20050225:1707,0
20050225:1807,0
20050225:1907,0
20050225:2007,0
20050225:2107,0
20050225:2207,0
20050225:2307,0
20050226:0007,0
20050226:0107,0
20050226:0207,0
20050226:0307,0
20050226:0407,0
20050226:0507,0
20050226:0607,169.51
20050226:0707,386.64
20050226:0807,563.62
20050226:0907,688.63
20050226:1007,774.83
20050226:1107,792.56
20050226:1207,751.45
20050226:1307,646.78
20050226:1407,502.66
20050226:1507,278.49
20050226:1607,57.73
20050226:1707,0
20050226:1807,0
20050226:1907,0
20050226:2007,0
20050226:2107,0
20050226:2207,0
20050226:2307,0
20050227:0007,0
20050227:0107,0
20050227:0207,0
20050227:0307,0
20050227:0407,0
20050227:0507,0
20050227:0607,148.54
20050227:0707,357.64
20050227:0807,558.6
20050227:0907,704.4
20050227:1007,782.06
20050227:1107,781.77
20050227:1207,741.86
20050227:1307,668.27
20050227:1407,527.72
20050227:1507,311.64
20050227:1607,69.14
20050227:1707,0
20050227:1807,0
20050227:1907,0
20050227:2007,0
20050227:2107,0
20050227:2207,0
20050227:2307,0
20050228:0007,0
20050228:0107,0
20050228:0207,0
20050228:0307,0
20050228:0407,0
20050228:0507,0
20050228:0607,183.4
20050228:0707,417.69
20050228:0807,616.76
20050228:0907,747.42
20050228:1007,802.73
20050228:1107,825.06
20050228:1207,773.3
20050228:1307,665.76
20050228:1407,526.81
20050228:1507,316
20050228:1607,68.71
20050228:1707,0
20050228:1807,0
20050228:1907,0
20050228:2007,0
