Time,value,,,,,,,,,,,,
20130118:1107,641857.2546,,,,,,,,,,,,
20130118:1207,535592.4412,,,,,,,,,,,,
20130118:1307,520378.355,,,,,,,,,,,,
20130118:1407,616960.0549,,,,,,,,,,,,
20130118:1507,578948.7836,,,,,,,,,,,,
20130118:1607,339649.6541,,,,,,,,,,,,
20130118:1707,285612.6201,,,,,,,,,,,,
20130118:1807,289182.7968,,,,,,,,,,,,
20130118:1907,121724.5092,,,,,,,,,,,,
20130118:2007,-466725.2967,,,,,,,,,,,,
20130118:2107,-330248.4322,,,,,,,,,,,,
20130118:2207,-170265.8926,,,,,,,,,,,,
20130118:2307,-140262.1935,,,,,,,,,,,,
20130119:0007,-221219.7313,,,,,,,,,,,,
20130119:0107,-274118.1958,,,,,,,,,,,,
20130119:0207,-208050.6343,,,,,,,,,,,,
20130119:0307,175251.8499,,,,,,,,,,,,
20130119:0407,424657.7011,,,,,,,,,,,,
20130119:0507,356982.0945,,,,,,,,,,,,
20130119:0607,74778.61952,,,,,,,,,,,,
20130119:0707,122853.7795,,,,,,,,,,,,
20130119:0807,269235.7124,,,,,,,,,,,,
20130119:0907,407085.5661,,,,,,,,,,,,
20130119:1007,488774.1615,,,,,,,,,,,,
20130119:1107,574327.4641,,,,,,,,,,,,
20130119:1207,435936.6973,,,,,,,,,,,,
20130119:1307,-187679.7354,,,,,,,,,,,,
20130119:1407,-185006.5156,,,,,,,,,,,,
20130119:1507,40658.56206,,,,,,,,,,,,
20130119:1607,208239.9142,,,,,,,,,,,,
20130119:1707,-66647.32469,,,,,,,,,,,,
20130119:1807,-121994.9941,,,,,,,,,,,,
20130119:1907,59345.78437,,,,,,,,,,,,
20130119:2007,301601.6303,,,,,,,,,,,,
20130119:2107,285838.3624,,,,,,,,,,,,
20130119:2207,250032.86,,,,,,,,,,,,
20130119:2307,217092.2694,,,,,,,,,,,,
20130120:0007,215565.1544,,,,,,,,,,,,
20130120:0107,257549.94,,,,,,,,,,,,
20130120:0207,401891.2726,,,,,,,,,,,,
20130120:0307,1048030.23,,,,,,,,,,,,
20130120:0407,1098745.071,,,,,,,,,,,,
20130120:0507,842988.4938,,,,,,,,,,,,
20130120:0607,496103.6108,,,,,,,,,,,,
20130120:0707,379399.6189,,,,,,,,,,,,
20130120:0807,737678.475,,,,,,,,,,,,
20130120:0907,703575.8055,,,,,,,,,,,,
20130120:1007,321631.0517,,,,,,,,,,,,
20130120:1107,254938.2911,,,,,,,,,,,,
20130120:1207,328930.7254,,,,,,,,,,,,
20130120:1307,328192.0676,,,,,,,,,,,,
20130120:1407,-88357.57699,,,,,,,,,,,,
20130120:1507,-119284.5328,,,,,,,,,,,,
20130120:1607,29251.96557,,,,,,,,,,,,
20130120:1707,127650.677,,,,,,,,,,,,
20130120:1807,128691.6368,,,,,,,,,,,,
20130120:1907,234284.0432,,,,,,,,,,,,
20130120:2007,459186.8749,,,,,,,,,,,,
20130120:2107,762448.4003,,,,,,,,,,,,
20130120:2207,419025.4039,,,,,,,,,,,,
20130120:2307,357839.7082,,,,,,,,,,,,
20130121:0007,800696.0193,,,,,,,,,,,,
20130121:0107,984769.3305,,,,,,,,,,,,
20130121:0207,1005325.744,,,,,,,,,,,,
20130121:0307,869150.9226,,,,,,,,,,,,
20130121:0407,678858.8729,,,,,,,,,,,,
20130121:0507,794056.3221,,,,,,,,,,,,
20130121:0607,870145.7457,,,,,,,,,,,,
20130121:0707,977163.0335,,,,,,,,,,,,
20130121:0807,1018453.702,,,,,,,,,,,,
20130121:0907,1129589.945,,,,,,,,,,,,
20130121:1007,1008662.24,,,,,,,,,,,,
20130121:1107,90958.38826,,,,,,,,,,,,
20130121:1207,-15271.08779,,,,,,,,,,,,
20130121:1307,217350.4293,,,,,,,,,,,,
20130121:1407,307666.4315,,,,,,,,,,,,
20130121:1507,156302.4003,,,,,,,,,,,,
20130121:1607,17860.50398,,,,,,,,,,,,
20130121:1707,-9315.529408,,,,,,,,,,,,
20130121:1807,167771.9322,,,,,,,,,,,,
20130121:1907,363262.7818,,,,,,,,,,,,
20130121:2007,430594.0731,,,,,,,,,,,,
20130121:2107,413244.6322,,,,,,,,,,,,
20130121:2207,409049.1422,,,,,,,,,,,,
20130121:2307,400946.1132,,,,,,,,,,,,
20130122:0007,301065.59,,,,,,,,,,,,
20130122:0107,3767.596031,,,,,,,,,,,,
20130122:0207,184430.8473,,,,,,,,,,,,
20130122:0307,323674.12,,,,,,,,,,,,
20130122:0407,238605.1559,,,,,,,,,,,,
20130122:0507,90754.93424,,,,,,,,,,,,
20130122:0607,-21745.23076,,,,,,,,,,,,
20130122:0707,-114172.5626,,,,,,,,,,,,
20130122:0807,-275725.1492,,,,,,,,,,,,
20130122:0907,-218775.8712,,,,,,,,,,,,
20130122:1007,-163662.522,,,,,,,,,,,,
20130122:1107,-161935.0092,,,,,,,,,,,,
20130122:1207,-204861.2277,,,,,,,,,,,,
20130122:1307,-245114.2603,,,,,,,,,,,,
20130122:1407,-244724.1825,,,,,,,,,,,,
20130122:1507,-162561.4894,,,,,,,,,,,,
20130122:1607,-129857.532,,,,,,,,,,,,
20130122:1707,-151092.6654,,,,,,,,,,,,
20130122:1807,-70375.30373,,,,,,,,,,,,
20130122:1907,77139.71674,,,,,,,,,,,,
20130122:2007,191329.3835,,,,,,,,,,,,
20130122:2107,165396.4271,,,,,,,,,,,,
20130122:2207,-151029.3203,,,,,,,,,,,,
20130122:2307,-297857.5531,,,,,,,,,,,,
20130123:0007,-270331.3987,,,,,,,,,,,,
20130123:0107,-182965.8103,,,,,,,,,,,,
20130123:0207,-177052.7964,,,,,,,,,,,,
20130123:0307,-193663.1781,,,,,,,,,,,,
20130123:0407,-226953.514,,,,,,,,,,,,
20130123:0507,-263358.4463,,,,,,,,,,,,
20130123:0607,-232949.037,,,,,,,,,,,,
20130123:0707,-227060.9051,,,,,,,,,,,,
20130123:0807,-231929.2297,,,,,,,,,,,,
20130123:0907,-233488.5801,,,,,,,,,,,,
20130123:1007,-233943.2804,,,,,,,,,,,,
20130123:1107,-235679.1859,,,,,,,,,,,,
20130123:1207,-239824.9925,,,,,,,,,,,,
20130123:1307,-232826.6172,,,,,,,,,,,,
20130123:1407,-151247.4203,,,,,,,,,,,,
20130123:1507,82058.29595,,,,,,,,,,,,
20130123:1607,35943.55886,,,,,,,,,,,,
20130123:1707,-117648.811,,,,,,,,,,,,
20130123:1807,-255343.8786,,,,,,,,,,,,
20130123:1907,-275936.7864,,,,,,,,,,,,
20130123:2007,-202358.4439,,,,,,,,,,,,
20130123:2107,-207566.1926,,,,,,,,,,,,
20130123:2207,-234671.1294,,,,,,,,,,,,
20130123:2307,-234889.6046,,,,,,,,,,,,
