Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
54	33569.75	2276.6367	35626.0	29990.0	1000.0	284.82526	0.00012045169	284.82532	284.82294	220000	-4.5776368e-08	8185050.5	-0.01755544	-28548.0	0.6550141	0.015014428	0.137	36.0	24658.779405117035
55	32803.25	2627.8044	35452.0	29579.0	1000.0	290.03345	0.000106097425	290.03348	290.03113	224000	-8.916855e-08	7652807.5	-0.016879067	-27189.5	0.6561087	0.008738103	0.1195	79.0	25891.246223926544
56	33937.25	1459.3376	35661.0	31998.0	1000.0	295.147	8.48696e-05	295.14703	295.14478	228000	-6.103516e-08	8200901.0	-0.0053883307	-28805.5	0.65777665	0.015658403	0.1885	3.0	27120.85393023491
57	33920.25	1886.9104	35595.0	30971.0	1000.0	300.39264	0.000113596536	300.3927	300.3905	232000	-1.859665e-08	8161354.0	-0.017706618	-28867.0	0.6575876	0.012759379	0.12625	79.0	28392.278127908707
58	32438.5	1857.1824	35648.0	31175.0	1000.0	305.65082	7.640982e-05	305.6508	305.64865	236000	3.6954881e-09	7362774.0	-0.016927574	-26191.5	0.6553036	0.0074910624	0.13525	79.0	29663.991109848022
59	30527.25	1079.9176	31653.0	28825.0	1000.0	310.67694	7.06533e-05	310.67697	310.67487	240000	4.5394899e-07	6363116.0	-0.014440921	-22596.5	0.6410242	0.015010533	0.13725	42.0	36159.48008441925
60	32112.25	2514.137	34883.0	28522.0	1000.0	315.366	6.518022e-05	315.36597	315.36395	244000	-2.5665761e-07	7271196.5	-0.01572029	-25813.0	0.63726425	0.008019323	0.1155	79.0	36692.656205415726
61	34028.25	1373.3047	35145.0	31730.0	1000.0	320.34912	2.9635066e-05	320.34915	320.34885	248000	1.47819526e-08	8214741.5	-0.01583765	-29015.0	0.6311443	0.01348257	0.13625	79.0	37342.6251039505
62	33052.75	2031.5183	35553.0	30756.0	1000.0	325.63715	5.9254417e-05	325.63715	325.6353	252000	7.629395e-09	7723726.5	-0.016424054	-27641.0	0.61813825	0.009937683	0.1165	79.0	38091.74569892883
63	34972.0	611.689	35943.0	34402.0	1000.0	330.82126	7.380113e-05	330.82126	330.81943	256000	-3.0040744e-07	8673647.0	-0.01815363	-30837.0	0.61585724	0.013585461	0.13975	79.0	39243.07947587967
64	35281.5	870.06683	35885.0	33782.0	1000.0	336.26443	9.8604134e-05	336.26447	336.26273	260000	-2.0503998e-08	8654164.0	-0.012450197	-30903.0	0.60349447	0.015655413	0.12925	15.0	40482.197075128555
65	34961.25	1177.9117	35766.0	32935.0	1000.0	341.71988	7.8081175e-05	341.71988	341.71817	264000	1.8620491e-07	8472309.0	-0.012378643	-30196.0	0.5985658	0.015476228	0.106	22.0	41586.61809206009
66	34581.75	1383.0929	35853.0	32420.0	1000.0	347.1064	9.408129e-05	347.10638	347.1048	268000	1.7768146e-07	8294029.0	-0.018961035	-29436.0	0.5947288	0.014099367	0.1655	79.0	42776.729212999344
67	34652.25	1653.7164	35848.0	31832.0	1000.0	352.41937	0.00010030376	352.4193	352.41776	272000	2.2077562e-07	8320574.0	-0.015664121	-29384.0	0.5837947	0.007878768	0.10625	79.0	44064.24403214455
68	34621.5	2113.7412	35901.0	30961.0	1000.0	357.71936	7.663954e-05	357.7194	357.71793	276000	-1.487732e-07	8121478.0	-0.017318273	-28661.5	0.57570356	0.0150621	0.10775	69.0	45320.02284049988
69	32138.5	2409.1572	34852.0	28246.0	1000.0	362.9554	5.0600775e-05	362.9554	362.95392	280000	4.768372e-09	7069841.0	-0.016533807	-24754.5	0.57242554	0.015108899	0.1185	72.0	46394.945924282074
70	33979.0	1718.2524	35913.0	31411.0	1000.0	367.84604	7.108369e-05	367.84598	367.84503	284000	-1.2540818e-07	7953777.0	-0.010326413	-27959.5	0.5740216	0.015465641	0.104	16.0	47553.54283308983
71	33981.25	2907.7954	35919.0	28974.0	1000.0	373.00787	7.245756e-05	373.00793	373.00705	288000	-3.194809e-08	7827470.5	-0.019133022	-27790.5	0.57316643	0.014647663	0.15125	79.0	48699.30553030968
72	35245.75	1027.4352	35876.0	33467.0	1000.0	378.17603	3.9740284e-05	378.17606	378.17554	292000	-5.102158e-08	8329429.5	-0.017667886	-29322.5	0.5651791	0.011076337	0.1325	79.0	49867.123540878296
73	34104.75	1911.6707	36040.0	32062.0	1000.0	383.47217	2.6163374e-05	383.47217	383.47168	296000	-6.556511e-08	7911540.5	-0.019426676	-27987.0	0.5525459	0.015085425	0.15575	76.0	51505.3099360466
74	33513.25	2338.8376	35932.0	29659.0	1000.0	388.66052	3.34547e-05	388.6605	388.6601	300000	-1.6045571e-07	7573272.5	-0.01698872	-26675.0	0.5524019	0.012307625	0.129	79.0	52495.109678030014
75	35223.25	847.04614	36035.0	33903.0	1000.0	393.72864	3.4583973e-05	393.72867	393.72827	304000	-6.961823e-08	8418158.0	-0.009447476	-29760.5	0.5538911	0.016109653	0.0715	6.0	53641.620253801346
