time,p:1,q :1,timeStamp
0.4,1700565.774,-1966209.549,
0.401,1710965.137,-1968661.659,
0.402,1722796.741,-1967489.397,
0.403,1734510.307,-1962685.63,
0.404,1744604.711,-1954720.479,
0.405,1751824.769,-1944467.861,
0.406,1755320.805,-1933080.553,
0.407,1754750.889,-1921831.471,
0.408,1750313.621,-1911942.913,
0.409,1742708.85,-1904426.57,
0.41,1733033.24,-1899955.148,
0.411,1722626.033,-1898781.774,
0.412,1712886.578,-1900716.655,
0.413,1705088.337,-1905162.712,
0.414,1700214.025,-1911204.068,
0.415,1698833.073,-1917734.455,
0.416,1701036.571,-1923607.653,
0.417,1706436.874,-1927789.592,
0.418,1714230.337,-1929492.027,
0.419,1723313.403,-1928270.595,
0.42,1732435.414,-1924075.177,
0.421,1740367.125,-1917247.069,
0.422,1746062.298,-1908464.617,
0.423,1748791.249,-1898645.699,
0.424,1748229.413,-1888820.972,
0.425,1744490.328,-1879995.272,
0.426,1738100.053,-1873015.745,
0.427,1729917.803,-1868463.921,
0.428,1721014.573,-1866585.387,
0.429,1712526.781,-1867265.445,
0.43,1705504.83,-1870052.845,
0.431,1700776.688,-1874227.327,
0.432,1698844.108,-1878901.019,
0.433,1699824.387,-1883139.501,
0.434,1703444.236,-1886086.118,
0.435,1709085.303,-1887073.067,
0.436,1715874.1,-1885704.932,
0.437,1722803.398,-1881904.309,
0.438,1728868.303,-1875914.419,
0.439,1733198.737,-1868259.384,
0.44,1735170.917,-1859668.429,
0.441,1734483.655,-1850974.849,
0.442,1731190.266,-1843003.675,
0.443,1725682.95,-1836463.115,
0.444,1718632.868,-1831853.983,
0.445,1710894.876,-1829408.637,
0.446,1703390.353,-1829066.758,
0.447,1696984.099,-1830490.293,
0.448,1692371.672,-1833114.654,
0.449,1689991.785,-1836228.549,
0.45,1689974.694,-1839071.254,
0.451,1692132.516,-1840934.077,
0.452,1695991.74,-1841252.545,
0.453,1700862.603,-1839677.371,
0.454,1705935.32,-1836115.379,
0.455,1710389.79,-1830735.679,
0.456,1713504.009,-1823941.131,
0.457,1714746.919,-1816309.679,
0.458,1713843.818,-1808514.005,
0.459,1710806.382,-1801230.609,
0.46,1705924.192,-1795050.565,
0.461,1699719.815,-1790403.654,
0.462,1692874.259,-1787505.572,
0.463,1686133.331,-1786334.608,
0.464,1680207.734,-1786640.174,
0.465,1675680.205,-1787981.292,
0.466,1672931.788,-1789789.263,
0.467,1672096.495,-1791445.671,
0.468,1673049.633,-1792365.088,
0.469,1675430.545,-1792071.449,
0.47,1678695.904,-1790258.209,
0.471,1682195.808,-1786824.714,
0.472,1685262.083,-1781884.576,
0.473,1687296.857,-1775745.608,
0.474,1687849.705,-1768864.645,
0.475,1686673.487,-1761783.8,
0.476,1683752.022,-1755057.003,
0.477,1679296.628,-1749176.728,
0.478,1673712.756,-1744510.568,
0.479,1667541.822,-1741255.77,
0.48,1661386.528,-1739417.312,
0.481,1655829.906,-1738811.831,
0.482,1651358.93,-1739096.278,
0.483,1648302.638,-1739816.94,
0.484,1646792.591,-1740471.874,
0.485,1646750.327,-1740578.212,
0.486,1647902.817,-1739735.354,
0.487,1649823.209,-1737675.813,
0.488,1651990.86,-1734297.313,
0.489,1653862.283,-1729672.352,
0.49,1654943.393,-1724034.502,
0.491,1654853.47,-1717743.819,
0.492,1653372.634,-1711236.403,
0.493,1650466.952,-1704965.136,
0.494,1646288.418,-1699339.626,
0.495,1641150.407,-1694673.268,
0.496,1635482.458,-1691144.256,
0.497,1629770.819,-1688775.329,
0.498,1624492.968,-1687434.478,
0.499,1620054.875,-1686856.04,
0.5,1616739.217,-1686678.886,
0.501,1614672.961,-1686497.113,
0.502,1613812.855,-1685913.769,
0.503,1613953.605,-1684592.306,
0.504,1614760.674,-1682300.375,
0.505,1615817.553,-1678937.982,
0.506,1616682.688,-1674547.535,
0.507,1616948.329,-1669304.888,
0.508,1616293.498,-1663493.018,
0.509,1614524.224,-1657462.208,
0.51,1611596.055,-1651582.316,
0.511,1607616.307,-1646193.59,
