TimeStamp,wSpeed100,,,,w250,w300,w350,w400
44.7501,9.31,,,,8.21,9.31,10.35,4.26
45,8.69,,,,8.21,8.69,10.62,4.54
45.01,9.07,,,,8.25,9.07,10.34,5.54
45.25,9.81,,,,8.78,9.81,10.14,5.52
45.2501,10.03,,,,9.17,10.03,11.14,6.2
45.5,9.72,,,,9.42,9.72,11.4,8.89
45.501,9.22,,,,9.98,9.22,11.26,9.58
45.75,8.56,,,,10.84,8.56,10.69,9.78
45.7501,7.91,,,,10.97,7.91,8.46,11.86
46,7.7,,,,10.6,7.7,7.61,11.61
46.01,7.89,,,,10.33,7.89,7.64,12.06
46.25,9.4,,,,10.79,9.4,7.45,11.89
46.2501,10.66,,,,11.17,10.66,7.15,4.2
46.5,11.05,,,,11.22,11.05,7.31,2.28
46.501,11.49,,,,10.74,11.49,7.68,1.31
46.75,11.93,,,,9.76,11.93,7.9,1.93
46.7501,12.3,,,,8.76,12.3,8,3.93
47,12.28,,,,8.58,12.28,7.81,4.78
47.01,11.38,,,,8.06,11.38,7.76,5.36
47.25,11.11,,,,7.71,11.11,8.56,6.1
47.2501,13.39,,,,7.21,13.39,9.19,5.87
47.5,13.63,,,,6.8,13.63,9.71,5.85
47.501,13.2,,,,6.43,13.2,10.11,6.27
47.75,12.64,,,,6.25,12.64,10.17,6.68
47.7501,11.43,,,,6.38,11.43,9.91,6.53
48,10.92,,,,6.57,10.92,9.56,5.88
48.01,10.69,,,,7.5,10.69,9.17,5.45
48.25,10.35,,,,8.73,10.35,9.49,6.11
48.2501,9.81,,,,9.35,9.81,9.66,7.71
48.5,9.36,,,,9.55,9.36,9.62,9.74
48.501,9.29,,,,10.04,9.29,9.43,11.13
48.75,9.39,,,,10.5,9.39,8.47,11.6
48.7501,9.29,,,,10.85,9.29,6.43,11.03
49,9,,,,11.05,9,6.03,11.12
49.01,8.8,,,,11.2,8.8,6.21,11.24
49.25,9.42,,,,11.23,9.42,6.63,11.37
49.2501,10.15,,,,12.39,10.15,6.85,10.93
49.5,10.54,,,,12.71,10.54,6.78,11
49.501,10.84,,,,12.44,10.84,7.13,11.42
49.75,10.92,,,,12,10.92,7.12,10.51
49.7501,11.06,,,,10.05,11.06,7.06,8.08
50,10.89,,,,8.04,10.89,7.32,6.59
50.01,7.62,,,,,,,
50.25,9.1,,,,,,,
