time,p:1,q :1,timeStamp
0.696,641632.2374,-579934.2172,
0.697,643567.6547,-578897.9611,
0.698,645395.9745,-577870.2246,
0.699,647124.9133,-576889.5063,
0.7,648775.9328,-575988.0291,
0.701,650383.8286,-575187.9354,
0.702,651989.3727,-574498.1745,
0.703,653631.3154,-573913.4781,
0.704,655344.0185,-573415.7817,
0.705,657153.0045,-572976.9138,
0.706,659071.7793,-572562.5547,
0.707,661100.3159,-572136.9101,
0.708,663225.3609,-571667.4673,
0.709,665422.4766,-571129.2028,
0.71,667659.5097,-570507.7004,
0.711,669900.992,-569800.7933,
