Time,value
20130211:1707,0
20130211:1807,0
20130211:1907,0
20130211:2007,0
20130211:2107,0
20130211:2207,0
20130211:2307,0
20130212:0007,0
20130212:0107,0
20130212:0207,0
20130212:0307,0
20130212:0407,0
20130212:0507,35680
20130212:0607,158450
20130212:0707,264310
20130212:0807,344485
20130212:0907,393955
20130212:1007,410745
20130212:1107,399760
20130212:1207,358145
20130212:1307,292615
20130212:1407,202005
20130212:1507,81410
20130212:1607,0
20130212:1707,0
20130212:1807,0
20130212:1907,0
20130212:2007,0
20130212:2107,0
20130212:2207,0
20130212:2307,0
20130213:0007,0
20130213:0107,0
20130213:0207,0
20130213:0307,0
20130213:0407,0
20130213:0507,37645
20130213:0607,157355
20130213:0707,267160
20130213:0807,344530
20130213:0907,392895
20130213:1007,414875
20130213:1107,402450
20130213:1207,363555
20130213:1307,299365
20130213:1407,208760
20130213:1507,92125
20130213:1607,0
20130213:1707,0
20130213:1807,0
20130213:1907,0
20130213:2007,0
20130213:2107,0
20130213:2207,0
20130213:2307,0
20130214:0007,0
20130214:0107,0
20130214:0207,0
20130214:0307,0
20130214:0407,0
20130214:0507,38180
20130214:0607,167575
20130214:0707,268595
20130214:0807,346270
20130214:0907,392775
20130214:1007,408040
20130214:1107,400855
20130214:1207,361330
20130214:1307,298440
20130214:1407,211705
20130214:1507,97190
20130214:1607,0
20130214:1707,0
20130214:1807,0
20130214:1907,0
20130214:2007,0
20130214:2107,0
20130214:2207,0
20130214:2307,0
20130215:0007,0
20130215:0107,0
20130215:0207,0
20130215:0307,0
20130215:0407,0
20130215:0507,36615
20130215:0607,160480
20130215:0707,269440
20130215:0807,349100
20130215:0907,400090
20130215:1007,416045
20130215:1107,406595
20130215:1207,365985
20130215:1307,301455
20130215:1407,210510
20130215:1507,93235
20130215:1607,0
20130215:1707,0
20130215:1807,0
20130215:1907,0
20130215:2007,0
20130215:2107,0
20130215:2207,0
20130215:2307,0
20130216:0007,0
20130216:0107,0
20130216:0207,0
20130216:0307,0
20130216:0407,0
20130216:0507,34410
20130216:0607,156205
20130216:0707,268565
20130216:0807,350005
20130216:0907,402965
20130216:1007,420365
20130216:1107,409840
20130216:1207,367180
20130216:1307,302085
20130216:1407,208855
20130216:1507,90940
20130216:1607,0
20130216:1707,0
20130216:1807,0
20130216:1907,0
20130216:2007,0
20130216:2107,0
20130216:2207,0
20130216:2307,0
20130217:0007,0
20130217:0107,0
20130217:0207,0
20130217:0307,0
20130217:0407,0
20130217:0507,34580
20130217:0607,162780
20130217:0707,270895
20130217:0807,347860
20130217:0907,399620
20130217:1007,416305
20130217:1107,407640
20130217:1207,367405
20130217:1307,300795
20130217:1407,207360
20130217:1507,93685
20130217:1607,0
20130217:1707,0
20130217:1807,0
20130217:1907,0
20130217:2007,0
20130217:2107,0
20130217:2207,0
20130217:2307,0
20130218:0007,0
20130218:0107,0
20130218:0207,0
20130218:0307,0
20130218:0407,0
20130218:0507,39140
20130218:0607,166030
20130218:0707,271530
20130218:0807,349375
20130218:0907,395910
20130218:1007,414795
20130218:1107,404125
20130218:1207,367035
20130218:1307,293365
20130218:1407,214875
20130218:1507,99010
20130218:1607,0
20130218:1707,0
20130218:1807,0
20130218:1907,0
20130218:2007,0
20130218:2107,0
20130218:2207,0
20130218:2307,0
20130219:0007,0
20130219:0107,0
20130219:0207,0
20130219:0307,0
20130219:0407,0
20130219:0507,32925
20130219:0607,152505
20130219:0707,252705
20130219:0807,354045
20130219:0907,405315
20130219:1007,425305
20130219:1107,412175
20130219:1207,376575
20130219:1307,311660
20130219:1407,203480
20130219:1507,86450
20130219:1607,0
20130219:1707,0
20130219:1807,0
20130219:1907,0
20130219:2007,0
20130219:2107,0
20130219:2207,0
20130219:2307,0
20130220:0007,0
20130220:0107,0
20130220:0207,0
20130220:0307,0
20130220:0407,0
20130220:0507,41270
20130220:0607,167335
20130220:0707,275360
20130220:0807,361640
20130220:0907,406485
20130220:1007,425485
20130220:1107,414345
20130220:1207,371625
20130220:1307,303935
20130220:1407,210750
20130220:1507,101895
20130220:1607,0
20130220:1707,0
20130220:1807,0
20130220:1907,0
20130220:2007,0
20130220:2107,0
20130220:2207,0
20130220:2307,0
20130221:0007,0
20130221:0107,0
20130221:0207,0
20130221:0307,0
20130221:0407,0
20130221:0507,40615
20130221:0607,162870
20130221:0707,272035
20130221:0807,349315
20130221:0907,394880
20130221:1007,410035
20130221:1107,395620
20130221:1207,351975
20130221:1307,288385
20130221:1407,200380
20130221:1507,88955
20130221:1607,0
20130221:1707,0
20130221:1807,0
20130221:1907,0
20130221:2007,0
20130221:2107,0
20130221:2207,0
20130221:2307,0
20130222:0007,0
20130222:0107,0
20130222:0207,0
20130222:0307,0
20130222:0407,0
20130222:0507,40925
20130222:0607,161915
20130222:0707,265805
20130222:0807,338605
20130222:0907,382840
20130222:1007,396035
20130222:1107,388425
20130222:1207,347675
20130222:1307,284820
20130222:1407,200210
20130222:1507,88700
20130222:1607,0
20130222:1707,0
20130222:1807,0
20130222:1907,0
20130222:2007,0
20130222:2107,0
20130222:2207,0
20130222:2307,0
20130223:0007,0
20130223:0107,0
20130223:0207,0
20130223:0307,0
20130223:0407,0
20130223:0507,40415
20130223:0607,163855
20130223:0707,272285
20130223:0807,353385
20130223:0907,401630
20130223:1007,420050
20130223:1107,410310
20130223:1207,370745
20130223:1307,304960
20130223:1407,213970
20130223:1507,95750
20130223:1607,0
20130223:1707,0
20130223:1807,0
20130223:1907,0
20130223:2007,0
20130223:2107,0
20130223:2207,0
20130223:2307,0
20130224:0007,0
20130224:0107,0
20130224:0207,0
20130224:0307,0
20130224:0407,0
20130224:0507,35245
20130224:0607,153820
20130224:0707,267015
20130224:0807,351695
20130224:0907,404305
20130224:1007,426400
20130224:1107,415635
20130224:1207,375145
20130224:1307,308125
20130224:1407,213745
20130224:1507,102100
20130224:1607,0
20130224:1707,0
20130224:1807,0
20130224:1907,0
20130224:2007,0
20130224:2107,0
20130224:2207,0
20130224:2307,0
20130225:0007,0
20130225:0107,0
20130225:0207,0
20130225:0307,0
20130225:0407,0
20130225:0507,34775
20130225:0607,148785
20130225:0707,261045
20130225:0807,342615
20130225:0907,395250
20130225:1007,415535
20130225:1107,408125
20130225:1207,369955
20130225:1307,308465
20130225:1407,213420
20130225:1507,96035
20130225:1607,0
20130225:1707,0
20130225:1807,0
20130225:1907,0
20130225:2007,0
20130225:2107,0
20130225:2207,0
20130225:2307,0
20130226:0007,0
20130226:0107,0
20130226:0207,0
20130226:0307,0
20130226:0407,0
20130226:0507,42920
20130226:0607,161075
20130226:0707,270205
20130226:0807,347695
20130226:0907,394690
20130226:1007,410195
20130226:1107,396695
20130226:1207,357990
20130226:1307,298935
20130226:1407,211200
20130226:1507,94450
20130226:1607,0
20130226:1707,0
20130226:1807,0
20130226:1907,0
20130226:2007,0
20130226:2107,0
20130226:2207,0
20130226:2307,0
20130227:0007,0
20130227:0107,0
20130227:0207,0
20130227:0307,0
20130227:0407,0
20130227:0507,38660
20130227:0607,154675
20130227:0707,264425
20130227:0807,344020
20130227:0907,391740
20130227:1007,408110
20130227:1107,397795
20130227:1207,359760
20130227:1307,298845
20130227:1407,208205
20130227:1507,93540
20130227:1607,0
20130227:1707,0
20130227:1807,0
20130227:1907,0
20130227:2007,0
20130227:2107,0
20130227:2207,0
20130227:2307,0
20130228:0007,0
20130228:0107,0
20130228:0207,0
20130228:0307,0
20130228:0407,0
20130228:0507,38645
20130228:0607,158710
20130228:0707,268275
20130228:0807,346770
20130228:0907,397605
20130228:1007,416240
20130228:1107,407135
20130228:1207,363010
20130228:1307,299485
20130228:1407,211975
20130228:1507,94590
20130228:1607,0
20130228:1707,0
20130228:1807,0
20130228:1907,0
20130228:2007,0
20130228:2107,0
20130228:2207,0
20130228:2307,0
20130301:0007,0
20130301:0107,0
20130301:0207,0
20130301:0307,0
20130301:0407,0
20130301:0507,39415
20130301:0607,162580
20130301:0707,273560
20130301:0807,353725
20130301:0907,402830
20130301:1007,421670
20130301:1107,412680
20130301:1207,375790
20130301:1307,307535
20130301:1407,212685
20130301:1507,95855
20130301:1607,0
20130301:1707,0
20130301:1807,0
20130301:1907,0
20130301:2007,0
20130301:2107,0
20130301:2207,0
20130301:2307,0
20130302:0007,0
20130302:0107,0
20130302:0207,0
20130302:0307,0
20130302:0407,0
20130302:0507,38260
20130302:0607,161995
20130302:0707,270380
20130302:0807,351005
20130302:0907,397245
20130302:1007,415930
20130302:1107,407235
20130302:1207,373065
20130302:1307,304840
20130302:1407,210615
20130302:1507,94850
20130302:1607,0
20130302:1707,0
20130302:1807,0
20130302:1907,0
20130302:2007,0
20130302:2107,0
20130302:2207,0
20130302:2307,0
20130303:0007,0
20130303:0107,0
20130303:0207,0
20130303:0307,0
20130303:0407,0
20130303:0507,41915
20130303:0607,162125
20130303:0707,270315
20130303:0807,347175
20130303:0907,393115
20130303:1007,414320
20130303:1107,403410
20130303:1207,369510
