TimeStamp,wSpeed.100
148.7501,8.85
149,8.82
149.01,8.66
149.25,9.24
149.2501,9.42
149.5,9.85
149.501,10.09
149.75,10.18
149.7501,9.92
150,9.58
150.01,9.44
150.25,9.61
150.2501,9.54
150.5,9.56
150.501,9.55
150.75,9.24
150.7501,7.92
151,7.83
151.01,7.52
151.25,7.43
151.2501,7.34
151.5,7.2
151.501,7.07
151.75,7.18
151.7501,7.36
152,7.6
152.01,7.74
152.25,8.38
152.2501,8.8
152.5,9.21
152.501,9.63
152.75,9.9
152.7501,9.97
153,9.93
153.01,9.6
153.25,9.8
153.2501,10.39
153.5,10.29
153.501,10.54
153.75,10.43
153.7501,7.79
154,7.03
154.01,6.45
154.25,6.15
154.2501,5.73
154.5,5.59
154.501,4.94
154.75,4.68
154.7501,4.56
155,4.33
155.01,4.44
155.25,4.35
155.2501,4.58
155.5,5.21
155.501,6.07
155.75,6.73
155.7501,7.11
156,7.13
156.01,7.04
156.25,6.95
156.2501,6.97
156.5,6.68
156.501,6.33
156.75,6.24
156.7501,5.76
157,4.13
157.01,4.32
157.25,4
157.2501,3.43
157.5,3.49
157.501,3.51
157.75,4.14
157.7501,4.88
158,4.41
158.01,4.25
158.25,5.28
158.2501,6.76
158.5,7.09
158.501,7.87
158.75,8.66
158.7501,9.63
159,10.37
159.01,10.4
159.25,10.33
159.2501,10.73
159.5,10.79
159.501,11.37
159.75,11.53
159.7501,9.57
160,9.06
160.01,9.56
160.25,9.97
160.2501,9.74
160.5,9.46
160.501,8.95
160.75,8.65
160.7501,8.74
161,8.87
161.01,8.74
161.25,11.1
161.2501,12.04
161.5,12.15
161.501,11.85
161.75,11.63
161.7501,11.73
162,11.36
162.01,11.42
162.25,11.67
162.2501,11.56
162.5,11.45
162.501,11.42
162.75,10.88
162.7501,9.94
163,9.41
163.01,9.07
163.25,8.83
163.2501,8.3
163.5,8.13
163.501,7.78
163.75,7.76
163.7501,7.84
164,7.99
164.01,7.44
164.25,9.39
164.2501,11.36
164.5,12.11
164.501,11.77
164.75,11.04
164.7501,10.94
165,11.39
165.01,11.36
165.25,10.98
165.2501,11.49
165.5,11.42
165.501,11.73
165.75,11.52
165.7501,9.22
166,7.93
166.01,7.53
166.25,7.11
166.2501,6.66
166.5,6.62
166.501,6.28
166.75,6.24
166.7501,6.28
167,6.38
167.01,7
167.25,8.52
167.2501,9.09
167.5,9.77
167.501,10.32
167.75,9.95
167.7501,10.11
168,10.59
168.01,10.36
168.25,10.03
168.2501,9.46
168.5,9.25
168.501,9.03
168.75,8.67
168.7501,6.3
169,6.54
169.01,6.16
169.25,5.58
169.2501,5.29
169.5,5.16
169.501,5.36
169.75,5.85
169.7501,6.58
170,6.9
170.01,6.69
170.25,7.75
170.2501,8.45
170.5,9.02
170.501,9.43
170.75,8.74
170.7501,8.11
171,8.49
171.01,9.14
171.25,9.32
171.2501,9.96
171.5,11.05
171.501,11.55
171.75,11.43
171.7501,8.66
172,7.52
172.01,7.36
172.25,6.86
172.2501,6.61
172.5,7.03
172.501,7.48
172.75,8.03
172.7501,8.31
173,8.43
173.01,8.5
173.25,9.37
173.2501,9.9
173.5,10.21
173.501,10.14
173.75,10.09
173.7501,10.03
174,10.34
174.01,10.38
174.25,10.63
174.2501,10.41
174.5,10.2
174.501,9.98
174.75,9.64
174.7501,8.32
175,8.6
175.01,8.2
175.25,8.03
175.2501,8.12
175.5,7.85
175.501,7.77
175.75,7.94
175.7501,8.05
176,8.29
176.01,8.23
176.25,8.96
176.2501,9.42
176.5,10.01
176.501,9.74
176.75,9.77
176.7501,9.75
177,9.75
177.01,9.52
177.25,9.55
177.2501,11.3
177.5,11.99
177.501,12.14
177.75,11.61
177.7501,9.15
178,8.02
178.01,7.98
178.25,7.75
178.2501,7.22
178.5,6.73
178.501,6.41
178.75,6.11
178.7501,5.96
179,5.61
179.01,5.42
179.25,6.47
179.2501,8.53
179.5,10.02
179.501,10.34
179.75,10.24
179.7501,9.97
180,9.8
180.01,9.89
180.25,10.58
180.2501,11.29
180.5,11.87
180.501,12.06
180.75,11.66
180.7501,8.69
181,7.58
181.01,8.06
181.25,8.04
181.2501,7.72
181.5,7.32
181.501,6.77
181.75,6.53
181.7501,6.65
182,6.55
182.01,6.1
182.25,7.44
182.2501,8.51
182.5,9.68
182.501,10.28
182.75,10.64
182.7501,11
183,11.23
183.01,11.46
183.25,11.83
183.2501,10.78
183.5,11.14
183.501,11.41
183.75,11.73
183.7501,9.77
184,8.53
184.01,8.96
184.25,9.32
184.2501,9.37
184.5,9.15
184.501,8.45
184.75,7.74
184.7501,7.37
185,7.14
185.01,6.83
185.25,7.91
185.2501,8.47
185.5,9.56
185.501,10.29
185.75,10.37
185.7501,10.32
186,10.64
186.01,10.57
186.25,10.5
186.2501,10.49
186.5,10.47
186.501,10.3
186.75,10.35
186.7501,8.17
187,8.27
187.01,8.88
187.25,9.04
187.2501,9
187.5,8.5
187.501,8.19
187.75,8.27
187.7501,8.33
188,8.63
188.01,8.39
188.25,9.46
188.2501,10.53
188.5,10.98
188.501,10.41
188.75,11.14
188.7501,11.18
189,10.98
189.01,10.41
189.25,10.21
189.2501,10.81
189.5,10.64
189.501,11.45
189.75,11.55
189.7501,8.38
190,8.2
190.01,8.54
190.25,8.38
190.2501,8.9
190.5,9.21
190.501,9.45
190.75,9.85
190.7501,9.69
191,9.28
191.01,7.7
191.25,8.11
191.2501,8.34
191.5,8.63
191.501,9
191.75,9.15
191.7501,10.17
192,10.95
192.01,10.91
192.25,11.02
192.2501,10.36
192.5,10.06
192.501,9.58
192.75,8.98
192.7501,8.52
193,8.37
193.01,7.95
193.25,8.21
193.2501,8.32
193.5,8.42
193.501,8.38
193.75,8.48
193.7501,8.51
194,8.83
194.01,8.93
194.25,9.8
194.2501,10.14
194.5,10.44
194.501,10.08
194.75,9.88
194.7501,9.7
195,9.79
195.01,9.97
195.25,10.16
195.2501,10.4
195.5,10.52
195.501,10.75
195.75,10.17
195.7501,8.31
196,8.38
196.01,8.06
196.25,7.53
196.2501,7.31
196.5,7.13
196.501,6.73
196.75,6.93
196.7501,7.06
197,7.17
197.01,7.19
197.25,7.91
197.2501,8.47
197.5,8.97
197.501,9.35
197.75,9.55
197.7501,9.65
198,9.59
198.01,9.15
198.25,8.93
198.2501,8.72
198.5,8.72
198.501,8.43
198.75,8.15
198.7501,5.66
199,6.02
199.01,5.83
199.25,5.75
199.2501,5.5
199.5,5.39
199.501,5.36
199.75,5.74
199.7501,5.98
200,6.13
200.01,6.63
200.25,7.57
200.2501,7.93
200.5,8.25
200.501,8.8
200.75,9.1
200.7501,9.26
201,9.32
201.01,9.15
201.25,9.62
201.2501,10.62
201.5,10.94
201.501,11.05
201.75,11.06
201.7501,9.35
202,7.76
202.01,8.32
202.25,8.42
202.2501,7.79
202.5,6.95
202.501,6.65
202.75,6.56
202.7501,6.6
203,6.3
203.01,5.61
203.25,5.48
203.2501,6.94
203.5,9.82
203.501,11.71
203.75,12.47
203.7501,12.6
204,12.7
204.01,12.67
204.25,12.68
204.2501,12.94
204.5,12.65
204.501,12.07
204.75,11.21
204.7501,10.11
205,9.82
205.01,9.84
205.25,8.96
205.2501,8.7
205.5,8.82
205.501,8.49
205.75,8.19
205.7501,7.82
206,7.53
206.01,7.15
