time,p:1,q :1,timeStamp
0.347,754304.7152,-1439700.938,43.5
0.348,763718.715,-1454493.116,43.501
0.349,779871.6364,-1464743.444,43.75
0.35,800569.6152,-1468736.517,43.751
0.351,823071.4657,-1465624.608,44
0.352,844463.4299,-1455518.945,44.01
0.353,862047.5966,-1439452.29,44.25
0.354,873692.4369,-1419220.815,44.251
0.355,878100.15,-1397129.001,44.5
0.356,874957.5807,-1375673.521,44.501
0.357,864953.6303,-1357209.275,44.75
0.358,849664.1036,-1343642.04,44.751
0.359,831322.39,-1336187.685,45
0.36,812508.9913,-1335228.115,45.01
0.361,795802.8035,-1340280.658,45.25
0.362,783441.0687,-1350082.253,45.251
0.363,777032.6276,-1362774.596,45.5
0.364,777360.9944,-1376163.429,45.501
0.365,784301.0447,-1388016.003,45.75
0.366,796857.5471,-1396356.557,45.751
0.367,813317.5023,-1399720.885,46
0.368,831493.4414,-1397337.367,46.01
0.369,849023.393,-1389212.318,46.25
0.37,863686.5872,-1376110.679,46.251
0.371,873692.8835,-1359437.078,46.5
0.372,877908.3915,-1341035.314,46.501
0.373,875989.0789,-1322934.673,46.75
0.374,868406.9799,-1307077.79,46.751
0.375,856368.1507,-1295066.424,47
0.376,841635.819,-1287958.229,47.01
0.377,826284.347,-1286140.144,47.25
0.378,812418.1323,-1289293.278,47.251
0.379,801893.365,-1296451.735,47.5
0.38,796079.2651,-1306145.407,47.501
0.381,795689.3282,-1316605.886,47.75
0.382,800703.1359,-1326006.842,47.751
0.383,810386.8447,-1332706.329,48
0.384,823407.2593,-1335459.01,48.01
0.385,838022.177,-1333571.011,48.25
0.386,852320.0518,-1326978.344,48.251
0.387,864476.1789,-1316240.371,48.5
0.388,872991.2133,-1302451.181,48.501
0.389,876880.9982,-1287082.541,48.75
0.39,875793.8501,-1271780.749,48.751
0.391,870041.5942,-1258145.306,49
0.392,860542.3481,-1247519.021,49.01
0.393,848684.7408,-1240816.974,49.25
0.394,836133.3768,-1238415.967,49.251
0.395,824602.6259,-1240117.623,49.5
0.396,815629.3368,-1245188.224,49.501
0.397,810374.4728,-1252468.228,49.75
0.398,809479.1291,-1260535.355,49.751
0.399,812992.5971,-1267898.444,50
0.4,820380.2175,-1273195.796,
0.401,830609.2263,-1275371.931,
0.402,842296.012,-1273809.265,
0.403,853896.0364,-1268398.996,
0.404,863912.5678,-1259543.607,
0.405,871092.8975,-1248091.592,
0.406,874587.6177,-1235214.915,
0.407,874052.8521,-1222246.711,
0.408,869683.3407,-1210501.587,
0.409,862173.6942,-1201102.657,
0.41,852614.6679,-1194837.948,
0.411,842339.7116,-1192064.426,
0.412,832743.237,-1192671.17,
0.413,825095.2531,-1196105.139,
0.414,820376.9041,-1201454.641,
0.415,819158.0888,-1207578.13,
0.416,821532.2816,-1213260.243,
0.417,827115.7609,-1217373.87,
0.418,835109.7863,-1219026.718,
0.419,844415.9967,-1217673.412,
0.42,853788.5218,-1213179.157,
0.421,862001.8569,-1205827.741,
0.422,868011.9796,-1196274.117,
0.423,871089.6263,-1185449.168,
0.424,870908.8284,-1174430.342,
0.425,867580.1162,-1164296.039,
0.426,861625.3564,-1155983.342,
0.427,853898.9543,-1150167.785,
0.428,845467.1156,-1147180.474,
0.429,837462.106,-1146972.627,
0.43,830931.3337,-1149131.053,
0.431,826701.2843,-1152941.338,
0.432,825273.889,-1157489.244,
0.433,826768.2072,-1161786.057,
0.434,830914.0138,-1164900.763,
0.435,837096.8789,-1166081.469,
0.436,844447.5451,-1164850.299,
0.437,851962.7417,-1161059.883,
0.438,858640.7419,-1154904.911,
0.439,863613.4278,-1146888.292,
0.44,866257.5329,-1137747.469,
0.441,866270.8966,-1128351.555,
0.442,863704.5241,-1119583.562,
0.443,858947.2953,-1112223.598,
0.444,852666.4877,-1106848.438,
0.445,845713.0296,-1103760.293,
0.446,839004.8321,-1102953.5,
0.447,833404.1185,-1104122.612,
0.448,829605.073,-1106709.833,
0.449,828046.3751,-1109984.598,
0.45,828859.5495,-1113144.047,
0.451,831859.075,-1115420.636,
0.452,836574.5431,-1116182.521,
0.453,842319.6062,-1115013.645,
0.454,848287.7291,-1111763.46,
0.455,853661.469,-1106560.442,
0.456,857720.5414,-1099788.481,
0.457,859934.4534,-1092030.151,
0.458,860027.861,-1083985.132,
0.459,858010.6932,-1076375.131,
0.46,854169.926,-1069848.175,
0.461,849025.0206,-1064894.9,
0.462,843253.7833,-1061787.6,
0.463,837599.1432,-1060549.53,
0.464,832769.6033,-1060957.779,
0.465,829346.6458,-1062578.544,
0.466,827711.1351,-1064829.378,
0.467,827997.9622,-1067059.542,
0.468,830084.2268,-1068637.461,
0.469,833611.7026,-1069033.552,
0.47,838039.7899,-1067887.628,
0.471,842721.2359,-1065052.349,
0.472,846990.081,-1060607.568,
0.473,850249.9402,-1054844.365,
0.474,852050.9673,-1048221.617,
0.475,852145.627,-1041301.464,
0.476,850516.4356,-1034672.71,
0.477,847372.69,-1028872.53,
0.478,843117.3699,-1024316.862,
0.479,838289.3014,-1021248.452,
0.48,833488.8088,-1019708.974,
0.481,829297.0602,-1019538.339,
0.482,826199.896,-1020400.628,
0.483,824526.0767,-1021832.585,
0.484,824407.7435,-1023307.758,
0.485,825767.7667,-1024307.424,
0.486,828334.9998,-1024388.813,
0.487,831684.7482,-1023241.678,
0.488,835298.5058,-1020726.038,
0.489,838634.6138,-1016886.565,
0.49,841200.2586,-1011942.275,
0.491,842615.2821,-1006253.478,
0.492,842659.5867,-1000270.878,
0.493,841298.2836,-994473.9805,
0.494,838681.8059,-989307.1627,
0.495,835121.5802,-985121.9168,
0.496,831045.0574,-982132.7156,
0.497,826936.5334,-980392.0058,
0.498,823271.9105,-979787.1646,
0.499,820456.1466,-980059.2972,
0.5,818771.5791,-980840.8733,
0.501,818344.9732,-981707.0035,
0.502,819133.4584,-982232.5715,
0.503,820933.1493,-982048.1565,
0.504,823411.215,-980887.6682,
0.505,826152.9047,-978620.9617,
0.506,828718.2356,-975267.7458,
0.507,830700.6329,-970991.3966,
0.508,831779.742,-966073.9751,
0.509,831761.5886,-960876.1911,
0.51,830601.099,-955787.9539,
0.511,828404.4367,-951176.2567,
0.512,825411.3392,-947337.3286,
0.513,821960.2672,-944459.2644,
0.514,818441.3812,-942599.8074,
0.515,815243.8403,-941681.8522,
0.516,812704.5121,-941506.8377,
0.517,811064.8226,-941783.8355,
0.518,810441.2397,-942170.1213,
0.519,810812.951,-942317.6062,
0.52,812027.9454,-941918.8637,
0.521,813826.2478,-940746.6933,
0.522,815876.8291,-938682.158,
0.523,817822.9898,-935727.6742,
0.524,819330.0291,-932003.7864,
0.525,820128.8553,-927730.442,
0.526,820049.8868,-923195.6065,
0.527,819043.0075,-918715.6618,
0.528,817181.2832,-914593.0047,
0.529,814648.3443,-911076.5062,
0.53,811711.4923,-908329.9744,
0.531,808684.426,-906412.5903,
0.532,805884.7532,-905273.608,
0.533,803592.0166,-904761.6771,
0.534,802011.7595,-904647.2079,
0.535,801250.2211,-904654.5173,
0.536,801302.7414,-904499.284,
0.537,802057.0726,-903926.2438,
0.538,803310.7985,-902742.1523,
0.539,804800.222,-900839.7789,
0.54,806236.6329,-898209.9844,
0.541,807344.9954,-894940.5747,
0.542,807899.8925,-891202.3988,
0.543,807754.056,-887224.8294,
0.544,806855.8972,-883264.1143,
0.545,805253.9958,-879568.942,
0.546,803088.2694,-876347.8298,
0.547,800569.3119,-873742.5899,
0.548,797948.9134,-871811.227,
0.549,795485.8617,-870522.2972,
0.55,793411.6516,-869761.196,
0.551,791900.6251,-869347.2619,
0.552,791048.3724,-869059.1798,
0.553,790861.0436,-868665.1362,
0.554,791256.7139,-867953.6364,
0.555,792078.3306,-866760.9036,
