time,p:1,q :1,,,
38.6,629768.6227,-287027.0784,38.501,0.501,38
38.7,455339.6801,-271378.0491,38.75,0.75,38
38.8,-98996.85013,-231075.9651,38.7501,0.7501,38
38.9,-526568.769,-243144.9751, , , 
39,-497225.6242,-251476.7621,39,0,39
39.1,-77.67380745,-242820.4048, ,, 
39.2,469032.6928,-272284.1495,39.25,0.25,39
39.3,477349.4342,-274622.1466,39.2501,0.2501,39
39.4,81213.4794,-238523.4059, , , 
39.5,-386603.1841,-233577.9552,39.5,0.5,39
39.6,-600166.2545,-255070.7898,39.501,0.501,39
39.7,-492661.3753,-257711.0823,39.75,0.75,39
39.8,-220223.2882,-247595.8846,39.7501,0.7501,39
39.9,19605.03466,-243149.9235, , , 
40,111554.8326,-240121.6445,40,0,40
40.1,57657.49151,-232485.5899, ,, 
40.2,-96082.21026,-225207.9438,40.25,0.25,40
40.3,-270541.7359,-225747.1871,40.2501,0.2501,40
40.4,477376.822,-257394.904, , , 
40.5,1796778.468,-632882.0431,40.5,0.5,40
40.6,2196595.137,-999525.9721,40.501,0.501,40
40.7,1428244.307,-774782.9147,40.75,0.75,40
40.8,-45436.12642,-449533.1578,40.7501,0.7501,40
40.9,-1140863.739,-483455.5967, , , 
41,-1300221.737,-536171.0994,41,0,41
41.1,-763617.1888,-442248.4597, ,, 
41.2,-68432.69781,-362700.846,41.25,0.25,41
41.3,294962.4515,-337040.8041,41.2501,0.2501,41
41.4,185592.5088,-298608.362, , , 
41.5,-209193.1555,-264709.8297,41.5,0.5,41
41.6,-496709.6932,-265937.7113,41.501,0.501,41
41.7,-438996.936,-262960.393,41.75,0.75,41
41.8,-145785.5236,-250778.9918,41.7501,0.7501,41
41.9,274144.2046,-257921.8328, , , 
42,758312.7915,-316938.8599,42,0,42
42.1,1140686.408,-417076.4912, ,, 
42.2,1239074.331,-479351.9954,42.25,0.25,42
42.3,1072762.466,-458364.5471,42.2501,0.2501,42
42.4,982564.1405,-436649.2637, , , 
42.5,1165071.339,-482167.4752,42.5,0.5,42
42.6,1488556.1,-604512.1976,42.501,0.501,42
42.7,1713656.678,-745598.1191,42.75,0.75,42
42.8,1717678.372,-812009.6464,42.7501,0.7501,42
42.9,1547664.567,-780086.8003, , , 
43,1325364.989,-698286.9142,43,0,43
43.1,1180320.524,-626771.7999, ,, 
43.2,1069415.292,-566327.831,43.25,0.25,43
43.3,979302.3644,-512952.6403,43.2501,0.2501,43
43.4,989589.7664,-488901.2747, , , 
43.5,1060512.282,-490809.5982,43.5,0.5,43
43.6,1103180.916,-496564.8723,43.501,0.501,43
43.7,1066045.452,-485331.0365,43.75,0.75,43
43.8,987331.2631,-460152.3124,43.7501,0.7501,43
43.9,977479.9099,-448249.4428, , , 
44,1045425.886,-459528.5229,44,0,44
44.1,1106669.683,-477286.7359, ,, 
44.2,1094093.456,-479350.219,44.25,0.25,44
44.3,1012022.517,-459472.0043,44.2501,0.2501,44
44.4,896007.721,-426680.5169, , , 
44.5,777199.4351,-390645.4864,44.5,0.5,44
44.6,685268.5503,-359961.597,44.501,0.501,44
44.7,488840.7933,-317878.6826,44.75,0.75,44
