time,p:1,timeStamp
0.751,1476655.093,
0.752,1474763.121,
0.753,1472861.913,
0.754,1470972.569,
0.755,1469114.793,
0.756,1467304.333,
0.757,1465551.007,
0.758,1463857.556,
0.759,1462219.46,
0.76,1460625.714,
0.761,1459060.443,
0.762,1457505.121,
0.763,1455941.076,
0.764,1454351.968,
0.765,1452725.891,
0.766,1451056.836,
0.767,1449345.351,
0.768,1447598.308,
0.769,1445827.857,
0.77,1444049.69,
0.771,1442280.901,
0.772,1440537.693,
0.773,1438833.274,
0.774,1437176.192,
0.775,1435569.321,
0.776,1434009.629,
0.777,1432488.724,
0.778,1430994.095,
0.779,1429510.866,
0.78,1428023.823,
0.781,1426519.425,
0.782,1424987.564,
0.783,1423422.81,
0.784,1421825.024,
0.785,1420199.248,
0.786,1418554.921,
0.787,1416904.534,
0.788,1415261.905,
0.789,1413640.34,
0.79,1412050.885,
0.791,1410500.933,
0.792,1408993.343,
0.793,1407526.172,
0.794,1406093.056,
0.795,1404684.161,
0.796,1403287.563,
0.797,1401890.88,
0.798,1400482.917,
0.799,1399055.119,
0.8,1397602.638,
0.801,1396103.117,
0.802,1394538.629,
0.803,1392917.446,
0.804,1391251.238,
0.805,1389553.468,
0.806,1387837.591,
0.807,1386115.306,
0.808,1384395.071,
0.809,1382681.089,
0.81,1380972.877,
0.811,1379265.465,
0.812,1377550.179,
0.813,1375815.898,
0.814,1374050.601,
0.815,1372242.994,
0.816,1370384.003,
0.817,1368467.938,
0.818,1366493.187,
0.819,1364462.344,
0.82,1362381.794,
0.821,1360260.797,
0.822,1358110.217,
0.823,1355941.081,
0.824,1353763.132,
0.825,1351583.609,
0.826,1349406.366,
0.827,1347231.476,
0.828,1345055.331,
0.829,1342871.233,
0.83,1340670.375,
0.831,1338443.076,
0.832,1336180.102,
0.833,1333873.896,
0.834,1331519.561,
0.835,1329115.46,
0.836,1326663.38,
0.837,1324168.236,
0.838,1321637.371,
0.839,1319079.554,
0.84,1316503.81,
0.841,1313918.254,
0.842,1311329.062,
0.843,1308739.731,
0.844,1306150.708,
0.845,1303559.427,
0.846,1300960.751,
0.847,1298347.732,
0.848,1295712.598,
0.849,1293047.825,
0.85,1290347.146,
0.851,1287606.377,
0.852,1284823.938,
0.853,1282001.029,
0.854,1279141.429,
0.855,1276250.96,
0.856,1273336.697,
0.857,1270406.031,
0.858,1267465.713,
0.859,1264521.006,
0.86,1261575.053,
0.861,1258628.544,
0.862,1255679.706,
0.863,1252724.63,
0.864,1249757.86,
0.865,1246773.18,
0.866,1243764.482,
0.867,1240726.606,
0.868,1237655.966,
0.869,1234551.112,
0.87,1231412.825,
0.871,1228244.007,
0.872,1225049.279,
0.873,1221834.35,
0.874,1218605.275,
0.875,1215367.672,
0.876,1212126.024,
0.877,1208883.138,
0.878,1205639.85,
0.879,1202394.991,
0.88,1199145.614,
0.881,1195887.463,
0.882,1192615.588,
0.883,1189325.05,
0.884,1186011.599,
0.885,1182672.247,
0.886,1179305.662,
0.887,1175912.334,
0.888,1172494.497,
0.889,1169055.818,
0.89,1165600.914,
0.891,1162134.747,
0.892,1158661.993,
0.893,1155186.463,
0.894,1151710.652,
0.895,1148235.47,
0.896,1144760.195,
0.897,1141282.636,
0.898,1137799.491,
0.899,1134306.837,
0.9,1130800.695,
0.901,1127274.183,
0.902,1123721.449,
0.903,1120141.482,
0.904,1116534.853,
0.905,1112903.634,
0.906,1109251.118,
0.907,1105581.391,
0.908,1101898.802,
0.909,1098207.423,
0.91,1094510.546,
0.911,1090810.301,
0.912,1087107.442,
0.913,1083401.307,
0.914,1079689.979,
0.915,1075970.598,
0.916,1072239.8,
0.917,1068494.199,
0.918,1064730.876,
0.919,1060947.78,
0.92,1057144.014,
0.921,1053319.96,
0.922,1049477.228,
0.923,1045618.453,
0.924,1041746.953,
0.925,1037866.309,
0.926,1033979.923,
0.927,1030090.606,
0.928,1026200.259,
0.929,1022309.673,
0.93,1018418.492,
0.931,1014525.321,
0.932,1010627.966,
0.933,1006723.783,
0.934,1002810.068,
0.935,998884.4521,
0.936,994945.2384,
0.937,990991.6468,
0.938,987023.9276,
0.939,983043.3392,
0.94,979051.992,
0.941,975052.5849,
