time,p:1,q :1,timeStamp
0.465,1938609.435,-2260684.115,
0.466,1936770.315,-2263839.161,
0.467,1936853.454,-2266799.731,
0.468,1938733.184,-2269008.844,
0.469,1942047.7,-2270019.543,
0.47,1946252.508,-2269551.177,
0.471,1950696.682,-2267522.411,
0.472,1954711.303,-2264057.16,
0.473,1957698.121,-2259463.326,
0.474,1959206.758,-2254187.797,
0.475,1958990.526,-2248754.194,
0.476,1957034.038,-2243692.013,
0.477,1953549.646,-2239466.679,
0.478,1948943.927,-2236419.743,
0.479,1943759.374,-2234726.829,
0.48,1938599.578,-2234378.478,
0.481,1934048.158,-2235185.837,
0.482,1930592.305,-2236809.87,
0.483,1928560.882,-2238809.658,
0.484,1928084.915,-2240702.974,
0.485,1929085.127,-2242030.849,
0.486,1931287.507,-2242417.523,
0.487,1934264.184,-2241617.991,
0.488,1937493.595,-2239547.168,
0.489,1940431.558,-2236287.283,
0.49,1942583.593,-2232073.035,
0.491,1943568.943,-2227257.006,
0.492,1943168.04,-2222260.375,
0.493,1941347.567,-2217515.758,
0.494,1938260.346,-2213409.922,
0.495,1934220.689,-2210233.907,
0.496,1929659.04,-2208146.967,
0.497,1925062.413,-2207158.74,
0.498,1920908.81,-2207131.572,
0.499,1917604.413,-2207802.194,
0.5,1915431.781,-2208819.441,
0.501,1914515.767,-2209792.773,
0.502,1914810.755,-2210344.588,
0.503,1916110.661,-2210159.588,
0.504,1918080.18,-2209024.987,
0.505,1920302.15,-2206856.115,
0.506,1922334.563,-2203704.519,
0.507,1923769.469,-2199747.924,
0.508,1924285.96,-2195263.8,
0.509,1923690.385,-2190590.415,
0.51,1921938.822,-2186080.804,
0.511,1919139.241,-2182055.898,
0.512,1915533.6,-2178763,
0.513,1911462.696,-2176344.96,
0.514,1907318.84,-2174823.853,
0.515,1903492.881,-2174100.969,
0.516,1900322.714,-2173972.715,
0.517,1898050.016,-2174159.968,
0.518,1896790.718,-2174346.674,
0.519,1896522.783,-2174222.403,
0.52,1897092.465,-2173523.136,
0.521,1898237.791,-2172064.966,
0.522,1899625.746,-2169766.434,
0.523,1900897.919,-2166656.833,
0.524,1901718.394,-2162869.714,
0.525,1901817.516,-2158622.805,
0.526,1901025.853,-2154187.321,
0.527,1899294.115,-2149850.955,
0.528,1896696.756,-2145879.575,
0.529,1893419.16,-2142482.722,
0.53,1889730.514,-2139787.344,
0.531,1885946.289,-2137823.053,
0.532,1882385.525,-2136520.55,
0.533,1879328.679,-2135723.131,
0.534,1876981.593,-2135209.434,
0.535,1875450.161,-2134724.17,
0.536,1874728.804,-2134012.582,
0.537,1874703.918,-2132854.028,
0.538,1875171.485,-2131090.249,
0.539,1875866.177,-2128644.759,
0.54,1876497.847,-2125530.985,
0.541,1876790.398,-2121848.367,
0.542,1876517.862,-2117767.22,
0.543,1875532.992,-2113504.605,
0.544,1873784.779,-2109294.629,
0.545,1871322.853,-2105357.196,
0.546,1868288.507,-2101869.378,
0.547,1864893.848,-2098943.111,
0.548,1861392.117,-2096612.007,
0.549,1858043.309,-2094828.805,
0.55,1855079.725,-2093473.534,
0.551,1852676.026,-2092371.066,
0.552,1850927.6,-2091315.528,
0.553,1849839.922,-2090098.167,
0.554,1849330.014,-2088534.953,
0.555,1849239.548,-2086490.245,
0.556,1849357.555,-2083893.536,
0.557,1849449.537,-2080747.202,
0.558,1849288.965,-2077124.474,
0.559,1848686.969,-2073158.106,
0.56,1847516.336,-2069021.486,
0.561,1845726.802,-2064904.828,
0.562,1843349.819,-2060989.72,
0.563,1840492.434,-2057425.414,
0.564,1837321.346,-2054309.935,
0.565,1834039.485,-2051678.399,
0.566,1830858.381,-2049499.892,
0.567,1827970.066,-2047683.13,
0.568,1825522.234,-2046089.932,
0.569,1823599.846,-2044554.561,
0.57,1822215.459,-2042906.231,
0.571,1821309.33,-2040991.747,
0.572,1820759.057,-2038695.289,
0.573,1820397.25,-2035952.798,
0.574,1820034.703,-2032759.2,
0.575,1819485.879,-2029167.69,
0.576,1818593.299,-2025281.344,
0.577,1817247.633,-2021238.374,
0.578,1815400.958,-2017193.083,
0.579,1813071.596,-2013295.17,
0.58,1810340.095,-2009670.125,
0.581,1807337.11,-2006403.275,
0.582,1804224.961,-2003529.516,
0.583,1801175.468,-2001029.92,
0.584,1798347.071,-1998835.522,
0.585,1795864.267,-1996837.61,
0.586,1793802.026,-1994903.008,
0.587,1792177.11,-1992892.218,
0.588,1790947.283,-1990677.966,
0.589,1790018.32,-1988161.7,
0.59,1789257.701,-1985285.901,
0.591,1788513.023,-1982040.709,
0.592,1787632.585,-1978464.099,
0.593,1786485.385,-1974635.758,
0.594,1784977.901,-1970665.605,
0.595,1783065.518,-1966678.606,
0.596,1780757.235,-1962797.958,
0.597,1778113.186,-1959128.917,
0.598,1775235.472,-1955745.361,
0.599,1772253.69,-1952680.818,
0.6,1769307.183,-1949925.015,
0.601,1766528.895,-1947427.649,
0.602,1764025.956,-1945104.631,
0.603,1761863.946,-1942848.873,
0.604,1760061.623,-1940546.387,
0.605,1758589.589,-1938091.476,
0.606,1757375.339,-1935400.477,
0.607,1756313.876,-1932422.281,
0.608,1755282.35,-1929144.303,
0.609,1754156.695,-1925593.236,
0.61,1752828.027,-1921830.622,
0.611,1751216.638,-1917943.921,
0.612,1749281.807,-1914034.385,
0.613,1747026.224,-1910203.4,
0.614,1744494.595,-1906539.139,
0.615,1741766.725,-1903105.261,
0.616,1738946.155,-1899933.121,
0.617,1736145.934,-1897018.413,
0.618,1733473.484,-1894322.597,
0.619,1731016.581,-1891778.797,
0.62,1728832.259,-1889301.302,
0.621,1726940.041,-1886797.315,
0.622,1725320.28,-1884179.359,
0.623,1723917.706,-1881376.694,
0.624,1722649.584,-1878344.25,
0.625,1721417.294,-1875067.97,
0.626,1720119.732,-1871565.935,
0.627,1718666.702,-1867885.235,
0.628,1716990.556,-1864095.084,
0.629,1715054.572,-1860277.186,
0.63,1712857.048,-1856514.684,
0.631,1710430.689,-1852881.183,
0.632,1707837.459,-1849431.282,
0.633,1705159.709,-1846193.847,
0.634,1702488.826,-1843168.823,
0.635,1699912.971,-1840327.944,
0.636,1697505.533,-1837619.129,
0.637,1695315.82,-1834973.928,
0.638,1693363.141,-1832316.935,
0.639,1691635,-1829575.905,
0.64,1690089.514,-1826691.204,
0.641,1688661.659,-1823623.385,
0.642,1687272.413,-1820357.912,
0.643,1685839.515,-1816906.499,
0.644,1684288.407,-1813304.952,
0.645,1682561.875,-1809607.892,
0.646,1680627.185,-1805881.118,
0.647,1678479.81,-1802192.686,
0.648,1676143.346,-1798603.893,
0.649,1673665.727,-1795161.372,
0.65,1671112.317,-1791891.304,
0.651,1668556.874,-1788796.465,
0.652,1666071.625,-1785856.421,
0.653,1663717.785,-1783030.784,
0.654,1661537.757,-1780265.017,
0.655,1659550.005,-1777497.964,
0.656,1657747.201,-1774670.078,
0.657,1656097.825,-1771731.237,
0.658,1654550.917,-1768647.136,
0.659,1653043.271,-1765403.443,
0.66,1651508.074,-1762007.222,
0.661,1649883.81,-1758485.504,
0.662,1648122.25,-1754881.263,
0.663,1646194.494,-1751247.382,
0.664,1644094.322,-1747639.458,
0.665,1641838.465,-1744108.425,
0.666,1639463.852,-1740693.954,
0.667,1637022.254,-1737419.509,
0.668,1634573.103,-1734289.645,
0.669,1632175.475,-1731289.865,
0.67,1629880.314,-1728388.991,
0.671,1627723.916,-1725543.678,
0.672,1625723.508,-1722704.426,
0.673,1623875.438,-1719822.25,
0.674,1622156.177,-1716855.142,
0.675,1620525.905,-1713773.44,
0.676,1618934.162,-1710563.46,
0.677,1617326.772,-1707228.925,
0.678,1615653.077,-1703790.073,
0.679,1613872.545,-1700280.602,
0.68,1611959.866,-1696742.923,
0.681,1609907.936,-1693222.371,
0.682,1607728.352,-1689761.17,
0.683,1605449.435,-1686392.95,
