time,p:1,q :1,,,
43.8,-42882.80996,-222392.4746,43.7501,0.7501,43
43.9,-234484.8273,-221795.7928, , , 
44,-355104.3256,-228625.3968,44,0,44
44.1,-354160.1032,-233749.613, ,, 
44.2,-267626.5929,-233896.3236,44.25,0.25,44
44.3,-164513.8164,-232021.6945,44.2501,0.2501,44
44.4,80977.81786,-233418.2263, , , 
44.5,420457.9903,-256772.9901,44.5,0.5,44
44.6,588965.2346,-281348.8689,44.501,0.501,44
44.7,511113.4961,-275462.0865,44.75,0.75,44
44.8,296073.7819,-250870.8884,44.7501,0.7501,44
44.9,86416.73594,-232233.9807, , , 
45,-34202.73485,-224444.2904,45,0,45
45.1,-43671.0876,-222689.9377, ,, 
45.2,-12959.38263,-222659.7753,45.25,0.25,45
45.3,2183.670499,-222323.6065,45.2501,0.2501,45
45.4,272470.0948,-234865.6214, , , 
45.5,776156.7326,-304149.7157,45.5,0.5,45
45.6,1101953.041,-397513.4121,45.501,0.501,45
45.7,818209.199,-363928.0226,45.75,0.75,45
45.8,28189.89794,-265725.2532,45.7501,0.7501,45
45.9,-635643.8808,-272450.5432, , , 
46,-805857.6044,-304583.7858,46,0,46
46.1,-545844.5996,-289531.9595, ,, 
46.2,-146985.6245,-266989.2923,46.25,0.25,46
46.3,112716.5801,-259662.9982,46.2501,0.2501,46
46.4,140615.0784,-250121.1525, , , 
46.5,-8113.743728,-235938.3841,46.5,0.5,46
46.6,-219768.1733,-229739.5254,46.501,0.501,46
46.7,-365320.1574,-234330.8806,46.75,0.75,46
46.8,-380465.6894,-238914.0966,46.7501,0.7501,46
46.9,-257040.2125,-236923.541, , , 
47,-64124.66874,-234161.4891,47,0,47
47.1,95095.322,-234844.4297, ,, 
47.2,252210.558,-240576.1173,47.25,0.25,47
47.3,417476.6801,-254825.5052,47.2501,0.2501,47
47.4,583543.3602,-277686.2702, , , 
47.5,730867.4895,-307798.3995,47.5,0.5,47
47.6,804529.0951,-331239.0124,47.501,0.501,47
47.7,829298.1011,-345361.2657,47.75,0.75,47
47.8,844150.1559,-355720.2499,47.7501,0.7501,47
47.9,898831.2194,-372834.8137, , , 
48,962708.8349,-395293.3941,48,0,48
48.1,953511.7616,-402305.5572, ,, 
48.2,886035.5525,-391642.3283,48.25,0.25,48
48.3,835891.6522,-379624.514,48.2501,0.2501,48
48.4,845386.2679,-378358.5471, , , 
48.5,887982.517,-386442.143,48.5,0.5,48
48.6,915585.2685,-394461.3688,48.501,0.501,48
48.7,764027.1524,-366641.7085,48.75,0.75,48
48.8,335974.1436,-296731.6282,48.7501,0.7501,48
48.9,-215083.9424,-255269.7616, , , 
49,-570666.9485,-265732.5299,49,0,49
49.1,-556547.9072,-271112.3788, ,, 
49.2,-323004.436,-258914.9676,49.25,0.25,49
49.3,-111313.691,-248971.9889,49.2501,0.2501,49
49.4,-22867.46791,-241797.4136, , , 
49.5,-39739.37852,-234662.7708,49.5,0.5,49
49.6,-98840.75495,-229238.3552,49.501,0.501,49
49.7,-133101.1936,-226629.4814,49.75,0.75,49
49.8,-125047.3582,-225510.251,49.7501,0.7501,49
49.9,-145527.6972,-224870.3113, , , 
50,-217290.3908,-225359.3643,50,0,50
