time,p:1,q :1, ,,
49.6,-131124.4337,-224315.6258,49.501,0.501,49
49.7,-236555.0464,-225013.6742,49.75,0.75,49
49.8,-279737.5471,-227948.4505,49.7501,0.7501,49
49.9,-242021.8957,-229183.2082, , , 
50,-163076.7927,-228648.2738,50,0,50
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,, ,
